a-candy-beauty-icon-theme-git,23.06-11,11,a-candy-beauty-icon-theme-git-23.06-11-any.chi.zst,a/a-candy-beauty-icon-theme-git-23.06-11-any.chi.zst
a2ps,4.14-11,11,a2ps-4.14-11-x86_64.chi.zst,a/a2ps-4.14-11-x86_64.chi.zst
a52dec,0.8.0-2,2,a52dec-0.8.0-2-x86_64.chi.zst,a/a52dec-0.8.0-2-x86_64.chi.zst
aalib,1.4rc5-17,17,aalib-1.4rc5-17-x86_64.chi.zst,a/aalib-1.4rc5-17-x86_64.chi.zst
aarch64-linux-gnu-binutils,2.34-1,1,aarch64-linux-gnu-binutils-2.34-1-x86_64.chi.zst,a/aarch64-linux-gnu-binutils-2.34-1-x86_64.chi.zst
aarch64-linux-gnu-gcc,10.1.0-1,1,aarch64-linux-gnu-gcc-10.1.0-1-x86_64.chi.zst,a/aarch64-linux-gnu-gcc-10.1.0-1-x86_64.chi.zst
aarch64-linux-gnu-gdb,9.2-1,1,aarch64-linux-gnu-gdb-9.2-1-x86_64.chi.zst,a/aarch64-linux-gnu-gdb-9.2-1-x86_64.chi.zst
aarch64-linux-gnu-glibc,2.31-1,1,aarch64-linux-gnu-glibc-2.31-1-any.chi.zst,a/aarch64-linux-gnu-glibc-2.31-1-any.chi.zst
abcde,2.9.3-2,2,abcde-2.9.3-2-any.chi.zst,a/abcde-2.9.3-2-any.chi.zst
abduco,0.6-5,5,abduco-0.6-5-x86_64.chi.zst,a/abduco-0.6-5-x86_64.chi.zst
abiword,3.0.5-2,2,abiword-3.0.5-2-x86_64.chi.zst,a/abiword-3.0.5-2-x86_64.chi.zst
abook,0.6.1-6,6,abook-0.6.1-6-x86_64.chi.zst,a/abook-0.6.1-6-x86_64.chi.zst
abseil-cpp,20230125.3-2,2,abseil-cpp-20230125.3-2-x86_64.chi.zst,a/abseil-cpp-20230125.3-2-x86_64.chi.zst
absl-py,1.0.0-1,1,absl-py-1.0.0-1-any.chi.zst,a/absl-py-1.0.0-1-any.chi.zst
abuse,0.8-10,10,abuse-0.8-10-x86_64.chi.zst,a/abuse-0.8-10-x86_64.chi.zst
accerciser,3.40.0-2,2,accerciser-3.40.0-2-any.chi.zst,a/accerciser-3.40.0-2-any.chi.zst
accounts-qml-module,0.7-4,4,accounts-qml-module-0.7-4-x86_64.chi.zst,a/accounts-qml-module-0.7-4-x86_64.chi.zst
accountsservice,23.13.9-1,1,accountsservice-23.13.9-1-x86_64.chi.zst,a/accountsservice-23.13.9-1-x86_64.chi.zst
acetoneiso2,2.3-11,11,acetoneiso2-2.3-11-x86_64.chi.zst,a/acetoneiso2-2.3-11-x86_64.chi.zst
ack,3.4.0-1,1,ack-3.4.0-1-any.chi.zst,a/ack-3.4.0-1-any.chi.zst
acl,2.3.1-3,3,acl-2.3.1-3-x86_64.chi.zst,a/acl-2.3.1-3-x86_64.chi.zst
acme,2019.08.19-2,2,acme-2019.08.19-2-x86_64.chi.zst,a/acme-2019.08.19-2-x86_64.chi.zst
acme-redirect,0.4.0-1,1,acme-redirect-0.4.0-1-x86_64.chi.zst,a/acme-redirect-0.4.0-1-x86_64.chi.zst
acme-tiny,5.0.1-1,1,acme-tiny-5.0.1-1-any.chi.zst,a/acme-tiny-5.0.1-1-any.chi.zst
acme.sh,2.8.6-1,1,acme.sh-2.8.6-1-any.chi.zst,a/acme.sh-2.8.6-1-any.chi.zst
acorn,1%3A8.7.0-1,1,acorn-1%3A8.7.0-1-any.chi.zst,a/acorn-1%3A8.7.0-1-any.chi.zst
acpica,20221020-1,1,acpica-20221020-1-x86_64.chi.zst,a/acpica-20221020-1-x86_64.chi.zst
acpid,2.0.34-1,1,acpid-2.0.34-1-x86_64.chi.zst,a/acpid-2.0.34-1-x86_64.chi.zst
adios2,2.8.0-2,2,adios2-2.8.0-2-x86_64.chi.zst,a/adios2-2.8.0-2-x86_64.chi.zst
adns,1.6.0-1,1,adns-1.6.0-1-x86_64.chi.zst,a/adns-1.6.0-1-x86_64.chi.zst
adwaita-cursors,44.0-1,1,adwaita-cursors-44.0-1-any.chi.zst,a/adwaita-cursors-44.0-1-any.chi.zst
